Retail Account(s),ADDR(s),CITY(s),STATE(s),ZIP9(s),PHON(s),Draft\Package(s)
Non-retail sales,701 Industrial Blvd NE,Minneapolis,MN,,0,Package
THE FOUR FIRKINS,5630 36TH ST W,ST LOUIS PARK,MN,55426,9529382847,Package
KITCHEN WINDOW,3001 HENNEPIN AVE,MINNEAPOLIS,MN,55408,6128244417,Package
VIKING LIQ WINE & TABACCO,7141 42ND AVE N,NEW HOPE,MN,55428,7635335799,Package
HASKELL'S - MPLS,81 S 9TH ST,MINNEAPOLIS,MN,55402,6123332434,Package
CENTRAL AVE LIQUOR,2538 CENTRAL AVE NE,MINNEAPOLIS,MN,55418,6127813424,Package
APPLE VALLEY MUNI #1,7525 W 148TH ST,APPLE VALLEY,MN,55124,9529532555,Package
HASKELL'S - WBL,1219 GUN CLUB ROAD,WHITE BEAR LAKE,MN,55110,6514260022,Package
MGM - MANKATO,201 VICTORY DR N,MANKATO,MN,56001,5076252420,Package
THE LIQUOR STORE & MORE,808 MAINSTREET,HOPKINS,MN,55343,9529355495,Package
TOP VALU #1,4950 CENTRAL AVE NE,COLUMBIA HEIGHTS,MN,55421,7637817144,Package
HASKELL'S - MTKA,12900 WAYZATA BLVD,MINNETONKA,MN,55305,9525444456,Package
THE NEWS ROOM,990 NICOLLET MALL,MINNEAPOLIS,MN,55403,6123430073,Package
WEST SIDE LIQUOR WAITE PARK,45 WAITE AVE N,WAITE PARK,MN,56387,3202539511,Package
TOWER LIQUOR,38658 TANGER DR,NORTH BRANCH,MN,55056,6513350988,Package
BIG DISCOUNT LIQUOR - ST PAUL,945 RICE ST,ST PAUL,MN,55117,6514872710,Package
CORK & CASK,8318 STATE HWY 23 W,ST CLOUD,MN,56301,3202575484,Package
NORTHGATE LIQUOR - BLAINE,12513 CENTRAL AVE NE,BLAINE,MN,55434,7637543231,Package
SOUTH LYNDALE LIQUORS,5300-12 LYNDALE AVE S,MINNEAPOLIS,MN,55419,6128275811,Package
DIFFLEY SQUARE LIQUOR,4130 BLACKHAWK RD #100,EAGAN,MN,55112,0,Package
CASH WISE - ST MICHAEL,308 CENTRAL AVE E,ST MICHAEL,MN,55376,7634970659,Package
SMALLEY'S,423 S MAIN ST,STILLWATER,MN,55082,6514395375,Package
PREMIER WINE & SPIRITS,316 CO RD 81,OSSEO,MN,55369,7634254680,Package
UNITED PENN LAKE LIQUOR,8915 PENN AVE S,BLOOMINGTON,MN,55431,9528818667,Package
CAPE FEAR WINE AND BEER,139 NORTH FRONT STREET,WILMINGTON,NC,28401,91076333770000000000,Package
THIRSTY MONK,50 COMMERCE STREET,ASHEVILLE,NC,28801,82825454700000000000,Package
TRIO BEER WINE & CHEESE,3708 NORTH CROATAN HWY,KITTY HAWK,NC,29749,25226102770000000000,Package
CITY BEVERAGE CO.-WINSTON,915 BURKE STREET,WINSTON SALEM,NC,27101,33672227740000000000,Package
CAROLINA BEER TEMPLE,131-1C MATTHEWS STATION ST,MATTHEWS,NC,28105,0,Package
SALUD BEER SHOP,3306-B NORTH DAVIDSON STREET,CHARLOTTE,NC,28205,70457829410000000000,Package
THIRSTY MONK-BILTMORE,2 TOWN SQUARE BLVD,ASHEVILLE,NC,28803,82868738730000000000,Package
GREAT GRAPES,1237 KILDAIRE FARM ROAD,CARY,NC,27511,91946890880000000000,Package
WINE MAESTRO-STATESVILLE,121 WEST BROAD STREET,STATESVILLE,NC,28677,70488394630000000000,Package
FERMENTAL BEER & WINE,7250-B MARKET STREET,WILMINGTON,NC,28411,91082103620000000000,Package
6TH & MAIN STREET,210 6TH STREET,N.WILKESBORO,NC,28659,33690216010000000000,Package
BRAWLEY'S BEVERAGE,4620 PARK ROAD,CHARLOTTE,NC,28209,70452113000000000000,Package
GOOD BOTTLE CO.,125-B REMOUNT RD,CHARLOTTE,NC,28203,70452710030000000000,Package
BOTTLE MIXX,8111 CREEMOOR RD,RALEIGH,NC,27613,91974047090000000000,Package
TOTAL WINE-#606 CARY,333A CROSSROADS BLVD,CARY,NC,27511,91923533220000000000,Package
OLD CHICAGO (PINE LAKE),2918 PINE LAKE RD,LINCOLN,NE,68506,4024213388,Package
THE STILL,6820 S 70TH,LINCOLN,NE,68516,4024231875,Package
HY VEE STORES INC #4,40TH & OLD CHENEY,LINCOLN,NE,68516,4024212462,Package
GRETNA WINE & SPIRITS,20580 HWY 370,GRETNA,NE,68028,4023322739,Package
BRITISH BEER COMPANY,1071 SOUTH WILLOW STREET,MANCHESTER,NH,03103,6032320677,Package
BERT'S BETTER BEERS,1100 HOOKSETT ROAD STE105,HOOKSETT,NH,03106,6034135992,Package
LIQUOR OUTLET,289 MYRTLE AVE.,BOONTON,NJ,070050000,9733341331,Package
BAYWAY LIQUORS #100,639 BAYWAY AVE,ELIZABETH,NJ,072020000,9083536300,Package
VIKING WINES & LIQUORS,4095 ROUTE 1,MONMOUTH JUNCTION,NJ,088520000,7322740990,Package
JOE CANAL'S,489 ROUTE 1,WOODBRIDGE,NJ,07095,7327260077,Package
LIQ LOCK.-SUPER SAVER#105,888 RTE 22 EAST,SOMERVILLE,NJ,088760000,9087226702,Package
HOT RODS BBQ,19 NORTH MAIN STREET,WHARTON,NJ,07885,9733615050,Package
LIQUOR FACTORY #1,175 LAKESIDE BLVD. STE 9,LANDING,NJ,078500000,9733986660,Package
PETROCKS LIQUORS,419 AMWELL ROAD BLDG1,HILLSBOROUGH,NJ,08844,9083592333,Package
GARYS WINE & MARKET PLACE,121 MAIN ST,MADISON,NJ,079400000,9738220200,Package
SHOP-RITE #897 FRANKLIN,100 STATE ROUTE 23,FRANKLIN,NJ,074160000,9738275787,Package
BOTTLE KING LEDGEWOOD,280  RT. 10,SUCCASUNNA,NJ,078760000,9735841118,Package
WORLD OF BEER,335 GEORGE ST,NEW BRUNSWICK,NJ,089010000,6093951103,Package
SHOP-RITE #764 BYRAM,1 US HWY 206,STANHOPE,NJ,078740000,9733472830,Package
WINKING LIZARD(VILLE),21805 CENTER RIDGE RD,ROCKY RIVER,OH,44116,12164400209,Package
ANDERSONS GENERAL    BEER,7000 BENT TREE BLVD,COLUMBUS,OH,432354981,16147669500,Package
BRICKYARD DRIVE THRU,19630 LAKE DR,TRIMBLE,OH,45782,17407674639,Package
HOULIHAN'S (WESTLAKE),25651 DETROIT ROAD,WESTLAKE,OH,44145,4408089090,Package
JUNGLE JIMS FRUIT MARKET,5440 DIXIE HIGHWAY,FAIRFIELD,OH,45013,15136746000,Package
HUDSONS RESTUARANT,3900 MEDINA ROAD SUITE Z,AKRON,OH,44333,13306667777,Package
STONE SPRINGS VINEYARD,49995 ST. RT. 14,EAST PALESTINE,OH,44413,3305091026,Package
NEW DUBLINER,6111 MONTGOMERY RD.,CINCINNATI,OH,45213,15136467455,Package
HEINENS  7   ROCKY RIVER,19219 DETROIT RD.,ROCKY RIVER,OH,44116,4403313830,Package
RED WINE AND BREW,8099 MAYFIELD ROAD,CHESTERLAND,OH,44026,14407297376,Package
CRYSTAL KEG BAR & GRILL,7936 YORK ROAD,NORTH ROYALTON,OH,44133,14408428056,Package
LIZARDVILLE BEER STORE,25380 MILES ROAD,BEDFORD HTS,OH,44146,12163642337,Package
COLLINS FINE FOOD,223 N WASHINGTON ST,VAN WERT,OH,45891,4192380079,Package
ANDERSONS GENERAL STORE,5800 ALSHIRE RD,COLUMBUS,OH,432324773,16148648800,Package
WORLD OF BEER EASTON,3934 TOWNSFAIR WAY,COLUMBUS,OH,432196067,16144444484,Package
GREAT SCOTT,1020 OHIO PIKE PORCH/PATI,CINCINNATI,OH,45245,15137524700,Package
VINTAGE ESTATE WINE&BEER,7317 SOUTH AVE.,BOARDMAN,OH,44512,3306298080,Package
MASSILLON FAMILY CARRYOUT,1014 AMHERST ROAD NE,MASSILLON,OH,44646,13306343398,Package
COVE  THE,1500 S GEORGE ST,YORK,PA,17403,7933771,Package
HOLYHOUND TAPROOM,57 WEST MARKET STREET,YORK,PA,17401,7179682496,Package
NATIONAL MECHANICS,22 SO. 3RD ST.,PHILADELPHIA,PA,19102,2155194478,Package
BEER OUTLET,77 FRANKLIN MILLS BLVD,PHILADELPHIA,PA,19154,2156325035,Package
NOMAD PIZZA,611 SOUTH 7TH STREET,PHILADELPHIA,PA,19147,2152380900,Package
CAPONE'S RESTAURANT,224 W. GERMANTOWN PK,NORRISTOWN,PA,19401,6102794748,Package
NORTHEAST BEER(CASTOR),7324 CASTOR AVE.,PHILADELPHIA,PA,19152,2157453000,Package
TOMATOE  BAR,7 SPRING STREET,PITTSTON,PA,18640,5702995031,Package
KUNDA BEVERAGE,349 S. HENDERSON ROAD,KING OF PRUSSIA,PA,19406,6102653113,Package
BLUE DOG PUB-LANS,850 S. VALLEY FORGE ROAD,LANSDALE,PA,19446,2153686620,Package
KING'S PIZZA/CK NEEDS 2 NAMES,49 S. MT. BOULEVARD,MOUNTAINTOP,PA,18707,5704749494,Package
NORTHEAST CONCESSIONS*ESCROW**,1280 HIGHWAY  315,WILKES-BARRE,PA,18702,5708312151,Package
WEGMANS WARRING 036,1405 MAIN STREET,WARRINGTON,PA,18976,2159183900,Package
RODANO'S PIZZA**NO DEL BET: 11,53 PUBLIC SQUARE,WILKES-BARRE,PA,18702,5708296444,Package
BIG TOP,1555 EASTON RD.,ROSLYN,PA,19001,2156595445,Package
GLOBAL BEER DIST.,1150 N. AMERICAN ST,PHILADELPHIA,PA,19123,2159251650,Package
BOTTLE SHOP,1837 E PASSYUNK AVE,PHILADELPHIA,PA,19148,2155515551,Package
CRAFT BEER OUTLET,9910 FRANKFORD AVE,PHILADELPHIA,PA,19114,2156322722,Package
STARFISH JUNCTION,4747 S. BROAD STREET,PHILADELPHIA,PA,19112,2158439273,Package
WYOMING VALLEY BEVERAGE  INC,ROUTE #11,EDWARDSVILLE,PA,18704,5702873088,Package
EULOGY BELGIAN TAVERN,136 CHESTNUT ST,PHILADELPHIA,PA,19106,2154131918,Package
EASTON BEER,240 SOUTH EASTON ROAD,GLENSIDE,PA,19038,2158841252,Package
TOWAMENCIN BEVERAGE,1550 SUMNEYTOWN PIKE,KULPSVILLE,PA,19443,2153622358,Package
BREWS BROTHERS  (PITTSTON),1705 RIVER RD-PORT BLANCHARD,PITTSTON,PA,18640,5708830444,Package
BENSALEM BEER & SODA,1919 STREET RD,BENSALEM,PA,19020,2156394790,Package
HIGHLAND BEVERAGE,140 SUSQUEHANNA STREET,JIM THORPE,PA,18229,5703254929,Package
GEORGETOWN DELI**BTWN 10 - 11,720 WILKES-BARRE TWP. BLVD.,WILKES-BARRE,PA,18702-000,5708292337,Package
JOEY B'S,638 DELAWARE AVE.,PALMERTON,PA,18071,6108266620,Package
V SPOT THE,906 PROVIDENCE ROAD,SCRANTON,PA,18508-254,5703447708,Package
CHAP'S TAPROOM,2509 W. MAIN STREET,JEFFERSONVILLE,PA,19403,6105398722,Package
ALBRIGHT MANSION RESTAURANT,66 BROADWAY STREET,JIM THORPE,PA,18229,5703254440,Package
BACKYARD ALE HOUSE  LLC,523 LINDEN STREET,SCRANTON,PA,18503-160,5709550192,Package
JESSUP PLAZA BEV.CTR. (TAX),1019 CONSTITUTION AVENUE,JESSUP,PA,18434,5703832200,Package
HENRYS BEVERAGE INC,2795 MT ROSE AVE,YORK,PA,17402,7558121,Package
BEER SUPER  INC.,485 SCOTT STREET,WILKES BARRE,PA,18702,5708238788,Package
RT 15 BEV EXPRESS,9 TRISTAN DRIVE,DILLSBURG,PA,17019,7174329978,Package
WYCHOCKS MOUNTAIN TOP BEVERAGE,75 SOUTH MOUNTAIN BLVD.,MOUNTAINTOP,PA,18707-112,5704745577,Package
NEWTOWN BEER STORE,10 WEST CENTRE AVENUE,NEWTOWN,PA,18940,2155796337,Package
WEGMANS COLLEGE 043,600 COMMERCE DRIVE,COLLEGEVILLE,PA,19426,4849021500,Package
SABATINI'S PIZZA*M-TH-AFT 3:30,1925 WYOMING AVENUE,WYOMING,PA,18644,5706932270,Package
A & A BEVERAGE WAREHOUSE INC,949 ADAMS AVENUE,SCRANTON,PA,18509,5703440024,Package
JOE'S SIX PACKS TO GO,620 N. BLAKELY STREET,DUNMORE,PA,18512,5703441795,Package
TRENTON RD TAV,1024 TRENTON RD,FALLSINGTON,PA,19054,2157361389,Package
FRANK SMITH,180 SHOEMAKER RD,POTTSTOWN,PA,19464,6103231320,Package
CAPE HORN BEVERAGE,3135A CAPE HORN RD,RED LION,PA,17356,2463636,Package
GOLDSTEIN'S DELI,200 PIERCE STREET,KINGSTON,PA,18704,5702830653,Package
COOPERS SEAFOOD HOUSE INC ****,701 N WASHINGTON AVENUE,SCRANTON,PA,18509,5703466883,Package
EPPS BEVERAGE,80 W RIDGE PIKE,ROYERSFORD,PA,19468,6104897555,Package
BREWER'S OUTLET (GERMAN),7401 GERMANTOWN AVEN,PHILADELPHIA,PA,19119,2152471265,Package
J & H BEER DELI,1574 315 HWY,PLAINS,PA,18702,5708221157,Package
BEER MART - READING,301-307 MORGANTWN RD,READING,PA,19611,6103767341,Package
QUEENSGATE BEER BARN,2057 SPRINGWOOD ROAD,YORK,PA,17403,8465690,Package
WEIS MARKET #190 (BEER),1027 N. BLVD. RT 6 & 11,CLARKS SUMMIT,PA,18411-000,5705872781,Package
PLAZA BEVERAGE (PITTSTON),ROUTE #11  PITTSTON BY PASS,PITTSTON,PA,18640,5706542680,Package
EXIT 190 BEER DELI,316 MAIN STREET,DICKSON CITY,PA,18519,5703823446,Package
C.F.M. (TAX) KINGSTON,283-85 PIERCE STREET,KINGSTON,PA,18704,5702873809,Package
GREEKS,239 HAVERFORD AVE.,NARBERTH,PA,19072,6106648655,Package
KINSLEY'S BEER TO GO ** BFORE,107 KINSLEY LANE,BROADHEADSVILLE,PA,18322,5704022755,Package
WOMELSDORF BEVERAGE,440 NORTH 3RD STREET,WOMELSDORF,PA,19567,6105894475,Package
BAR-B-Q PIT,4711 PENN AVENUE,SINKING SPRINGS,PA,19608,6106789696,Package
PESCATORES,1810 WILMINGTON PIKE,CHADDSFORD,PA,19342,6103585454,Package
BEER CITY,391 WEST BROAD ST.,QUAKERTOWN,PA,18951,2155380111,Package
KERN  BROS.INC,65 DALLAS SHOPPING CENTER,DALLAS,PA,18612,5706750110,Package
BREWERS OUTLET/COLLETTI,409 E PHILADELPHIA ST,YORK,PA,17403,7178485250,Package
BEER BARRELL INC.,4048 A WOODHAVEN ROAD,PHILADELPHIA,PA,19154,2156374946,Package
QUICK 6 BEERMART FIVE,1200 MT ROSE AVE,YORK,PA,17403,8528646,Package
MIGGY'S FOODTOWN  (BEER)**BEFO,9 FOX RUN LANE,EAST STROUDSBURG,PA,18302,5702231350,Package
STEAM PUB,606 2ND STREET PIKE,SOUTHAMPTON,PA,18966,2152848674,Package
WEIS MARKET #151 (BEER),RT 115 & 209,BROADHEADSVILLE,PA,18321,5709928009,Package
ELMER SUDDS,475 E. NORTHAMPTON STREET,WILKES-BARRE,PA,18702,5708297833,Package
MONDE MARKET,100 S 21ST ST,PHILADELPHIA,PA,19103,2673344805,Package
BEER YARD,218 E LANCASTER AVE,WAYNE,PA,19087,6106883431,Package
AURANTS  INC.,941 MAIN STREET,DURYEA,PA,18642,5704511500,Package
PARKTOWNE BEVERAGE,310 N. LEWIS RD.,ROYERSFORD,PA,19468,6109480970,Package
JO JO'S BEVERAGE STORE,564 AIRPORT ROAD,HAZLE TOWNSHIP,PA,18202,5704556500,Package
WYOMING COUNTY BEVERAGE,120 EAST TIOGA STREET,TUNKHANNOCK,PA,18657,5708362221,Package
BREWERS OUTLET 202,257 WILMINGTON PK,CHADDSFORD,PA,19317,6104598228,Package
COOPER'S SEAFOOD HOUSE (LUZERN,ON THE  WATERFRONT,PITTSTON,PA,18640,5706546883,Package
CATHY'S SCOTTS GROCERY (BEER),2603 BIRNEY AVE.,SCRANTON,PA,18505,5702414960,Package
FLAHERTY'S DRINKING EST.,275 ZERBY AVENUE,KINGSTON,PA,18704,5702882967,Package
SOCIETY HILL BEV.,129 WASHINGTON AVE.,PHILADELPHIA,PA,19147,2153367622,Package
NORTH PENN BEV.INC,39 WASHINGTON AVENUE,SOUDERTON,PA,18964,2157231147,Package
HOUSE OF BREW INC,1109 HANOVER RD,YORK,PA,17408,2253858,Package
GOOD TA GO,1640 ORCHARD DRIVE UNIT 1,CHAMBERSBURG,PA,17201,4460138,Package
HARRINGTON'S DISTRIBUTING ****,2607 BIRNEY AVENUE,SCRANTON,PA,18505,5703422175,Package
FROSTY CAPS,1745-1747 OLD YORK R,ROSLYN,PA,19001,2158300330,Package
PINOCCHIO'S PIZZA,131 E BALTIMORE PK,MEDIA,PA,19063,6105664895,Package
PHILADELPHIA BAR & REST.,120-122 MARKET ST.,PHILADELPHIA,PA,19106,2159257691,Package
J & M UNION BEVERAGE INC.,578 UNION ST.  LUZ. SHPNG CNTR,LUZERNE,PA,18709,5702880133,Package
MADONNA DISTRIBUTOR,478 N. EASTON ROAD,GLENSIDE,PA,19038,2158841378,Package
WARREN HOTEL,46 WARREN STREET,TUNKHANNOCK,PA,18657,5704060218,Package
CANDLEWYCK INN,2543 DURHAM RD,BUCKINGHAM,PA,18912,2157948233,Package
RITE BUY BEER DIST,5300 BALTIMORE PIKE,CLIFTON HEIGHTS,PA,19018,6102844148,Package
ICE COLD BEER HERE,501 HARDFORD STREET,MILFORD,PA,18337,5169935220,Package
CROWN BEVERAGE,SOUTH STATE STREET,CLARKSUMMIT,PA,18411,5705867851,Package
DEON'S 1 STOP BEVERAGES,1101 WOODLAND ROAD,WYOMISSING,PA,19610,6103719636,Package
DAWN'S RUBY ROOM,303 CHESTNUT STREET,PECKVILLE,PA,18452,5702414415,Package
MRS. D'S,915 S WASHINGTON AVENUE,SCRANTON,PA,18505,5703412299,Package
THE BEER STORE,488 SECOND STREET,SOUTHAMPTON,PA,18966,2679815301,Package
SUPER VALUE,625 MEARNS ROAD,WARMINSTER,PA,18974,2156727250,Package
BEER STOP DELI & CIGAR,890 S. PROSPECT STREET,NANTICOKE,PA,18634,5702582337,Package
HAMLIN DISTRIBUTORS INC,590 HAMLIN HIGHWAY P O BOX 22,HAMLIN,PA,18427-002,5706892891,Package
POUR VOUS BEER MARKET,263 INDIAN LAKE BLVD,HENDERSONVILLE,TN,370750000,6155907094,Package
4 WAY MARKET,1401 FATHERLAND STREET,NASHVILLE,TN,372060000,6152280024,Package
4 STOP MARKET II,1401 WOODLAND ST,NASHVILLE,TN,372060000,2264831,Package
CORNER PUB-MIDTOWN,2000 BROADWAY,NASHVILLE,TN,372030000,6153279250,Package
SUPERMART II,501 GARRET COURT,GALLATIN,TN,370660000,9319808189,Package
COST PLUS #326,2615 MEDICAL CENTER PKWY #2400,MURFREESBORO,TN,371290000,6158981393,Package
MIDTOWN BEVERAGES & MORE,1608 CHURCH ST,NASHVILLE,TN,372030000,3299214,Package
COST PLUS #342,1006 ANDREWS RUN,HENDERSONVILLE,TN,370750000,0,Package
CLASICO,9615 MONTANA AVE,EL PASO,TX,79925,892378915,Package
SPECS #094,655 SUNLAND PARK,EL PASO,TX,79912,0,Package
WESTERN BEVERAGE INC #78,12210 MONTWOOD SUITE 108,EL PASO,TX,79927,921069915,Package
LONDON GRILL & TAVERN,129 E NOLANA STE A,MCALLEN,TX,78504,0,Package
KING'S WINE & BIERGARTEN,1329 E BROADWAY,PEARLAND,TX,77581,2814558900,Package
ROOSEVELT AT 7,821 N MAIN STREET,MCALLEN,TX,78501,971090956,Package
COST PLUS WORLD MARKET #257,1327 GEORGE DIETER C,EL PASO,TX,79936,633651915,Package
SPECS DICORTES #068,5625 SO. PADRE ISLAND DR.,CORPUS CHRISTI,TX,78412,884888361,Package
JOE VINNY & BRONSONS BOHEMIAN,824 PIEDRAS,EL PASO,TX,79905,497491915,Package
FLYING SAUCER- ADDISON,14999 MONTFORT,ADDISON,TX,75254,991709972,Package
BUDDYS BEER BARN,10150 MONTANA,EL PASO,TX,79925,599227915,Package
HEB FOOD STORE #069,5313 SARATOGA,CORPUS CHRISTI,TX,78414,980099361,Package
VISTA CENTRAL MARKET,2231 N ZARAGOSA,EL PASO,TX,79938,852225915,Package
PRIMOS CRAFT BEER,3233 N MESA SUITE 101,EL PASO,TX,79902,0,Package
GOOD TIME STORE #70,12900 EDGEMERE BLVD,EL PASO,TX,79925,282551512,Package
LIQUID TOWN #8,4141 S ALAMEDA,CORPUS CHRISTI,TX,78412,854103361,Package
COST PLUS WORLD MARKET (FT),5425 SPID,CORPUS CHRISTI,TX,78412,906226361,Package
SUSHI BAR,6646 S STAPLES  #122,CORPUS CHRISTI,TX,78413,765771361,Package
CENTRAL MARKET #552,5750 E LOVERS LANE,DALLAS,TX,752060000,0,Package
OSAPLE INC,333 N OREGON,EL PASO,TX,79912,525098915,Package
ASIAN CITY,20205 HWY 59,HUMBLE,TX,77338,2813194567,Package
TORO BURGER BAR,1700 N ZARAGOSA STE 157,EL PASO,TX,79936,921867915,Package
TAQUERIA JALISCO,1413 HWY 281 SOUTH,FALFURRIAS,TX,78355,460195361,Package
COWTOWN DISCOUNT LIQUOR,5100 MONTANA AVE,EL PASO,TX,79903,0,Package
ARDOVINOS PIZZA,SEAN HAGGERTY DR. STE A,EL PASO,TX,79924,0,Package
COST PLUS WORLD MARKET #163,200 SUNDANCE PARKWAY,ROUND ROCK,TX,786810000,733272512,Package
SPEC'S LIQUOR #108,1201 N. VELASCO,ANGLETON,TX,77515,3615822619,Package
MB'S LIQUOR AND WINE,7114 SARATOGA BLVD,CORPUS CHRISTI,TX,78413,244738361,Package
SPEC'S LIQUOR #00,2410 SMITH,HOUSTON,TX,77006,7135268787,Package
FELDMANS #36,3500 PECAN BOULEVARD,MCALLEN,TX,78501,581793956,Package
JAMISONS PUB,4528 WEBER,CORPUS CHRISTI,TX,78411,855750361,Package
WESTERN BEVERAGE INC #77,11380 N GATEWAY BLVD STE,EL PASO,TX,79934,0,Package
SPEC'S LIQUOR #55,14315 CYPRESS ROSEHILL RD,CYPRESS,TX,77429,2813732999,Package
HEB FOOD STORE #562,1409 HWY 35 NORTH,ROCKPORT,TX,78382,729102361,Package
WESTERN BEVERAGE LIQUOR'S,1401 W KELLY AVE,PHARR,TX,78577,599213956,Package
CASA GRANDE SUPER CLUB,1 BOLIVAR AVENUE,RANCHO VIEJO,TX,78575,350400956,Package
WURZBACH ICE HOUSE,10141 WURZBACH RD,SAN ANTONIO,TX,78230,2108772100,Package
SPEC'S LIQUOR #06,1023 BAY AREA BLVD,HOUSTON,TX,77058,2814869558,Package
SUSHI PLACE & LOUNGE THE,5905 N MESA STE A,EL PASO,TX,79912,203355915,Package
WORLD MARKET #135,4701 WEST FREEWAY,FORT WORTH,TX,761070000,0,Package
FELDMANS #34,4350 HWY 77/83 NSUITE D,BROWNSVILLE,TX,78520,956,Package
WESTERN BEVERAGE INC #83,1840 LEE TREVINO SU 200,EL PASO,TX,79936,592450915,Package
TANYAS GRIDIRON,4620 DYER,EL PASO,TX,79930,566818915,Package
SPECS #150,9500 N CENTRAL EXPWY #200,DALLAS,TX,75231,0,Package
LONESTAR BEER & WINE,3065 N JOSEY LANE,CARROLLTON,TX,750075340,0,Package
ROWDY'S CONVIENENCE STORE,8300 SPENCER HIGHWAY,LA PORTE,TX,77571,479417281,Package
EL TAPATIO MEXICAN RESTAURANT,630 W SANTA GERTRUDIS ST,KINGSVILLE,TX,78363,516165361,Package
HEB FOOD STORE #583,9100 WOODWAY DR,WOODWAY,TX,767120000,0,Package
TOTAL WINE SPIRITS BEER & MORE,9350 N CENTRAL EXWY,DALLAS,TX,75231,542702812,Package
HEB #291,613 SOUTH EXPRESSWAY 83,HARLINGEN,TX,78550,425749956,Package
BROWNSVILLE BEER FEST,501 E. RINGGOLD STREET,BROWNSVILLE,TX,78526,592462956,Package
FELDMANS #35,5506 SAN BERNARDO AVENUE,LAREDO,TX,78041,956,Package
SPECS #105,7933 N MESA ST STE A,EL PASO,TX,79932,0,Package
THE LIQUOR COMPANY,11100 SEAN HAGGARTY DR,EL PASO,TX,79913,256711915,Package
WING ZONE GRILL & BAR,14010 HORIZON BLVD,HORIZON CITY,TX,79928,0,Package
SPECS #107,6816 SLIDE ROAD,LUBBOCK,TX,79400,676141806,Package
WB LIQUOR 121,14457 SPID  SUITE 105,CORPUS CHRISTI,TX,78418,949008361,Package
HEB #446,2155 PAREDES LINE RD.,BROWNSVILLE,TX,78521,574970956,Package
GRACE,777 MAIN STREET G200,FORT WORTH,TX,761020000,877338817,Package
I-10 ICE HOUSE,9518 CONSOLE,SAN ANTONIO,TX,78229,2106145200,Package
FELDMANS #32,621 S. 77 SUNSHINE STRIP,HARLINGEN,TX,78550,956,Package
WORLD MARKET #104,8700 PRESTON ROAD,PLANO,TX,750240000,0,Package
SPEC'S LIQUOR #2,11990 WESTHEIMER,HOUSTON,TX,77077,2814970413,Package
WORLD MARKET #213,1400 LOOP 288,DENTON,TX,762050000,0,Package
FELDMANS VALLEY WIDE #26,100 N 10TH STREET SUITE B,MCALLEN,TX,78501,687946956,Package
HEB #210(CC6),4320 S ALAMEDA,CORPUS CHRISTI,TX,78412,993484361,Package
H.E.B. #45/108,20935 HWY 281 NORTH,SAN ANTONIO,TX,78258,2104944208,Package
TORO BURGER BAR,6590 MONTANA STE A,EL PASO,TX,79925,533457915,Package
COST PLUS WORLD MKT #324,17414 LA CANTERA PARKWAY,SAN ANTONIO,TX,78257,2106416052,Package
WORLD MARKET #228,239 CURTIS MATHIS WAY,ARLINGTON,TX,760180000,540182817,Package
ZARAGOSA DISCOUNT LIQUORS,5140 FAIRBANKS 7 & 8,EL PASO,TX,79924,757263915,Package
SPECS #103,5100 MONTANA AVE,EL PASO,TX,79903,915,Package
EVERYDAY GYRO,205 CINCINNATI AVE,EL PASO,TX,79902,525500915,Package
FELDMANS #37,809 HWY 83 EAST,WESLACO,TX,78596,0,Package
CAFE ITALIA,504 W SAN ANTONIO AVE.,EL PASO,TX,79901,0,Package
KINGS BEER,3117 SAUL KLEINFELD DR,EL PASO TX,TX,79936,0,Package
LIGHTHOUSE LIQUORS,2815 HWY 35 N #13 PLAZA,ROCKPORT,TX,78382,729850361,Package
CARMENS LIQUOR,1475 GEORGE DIETER SP-G,EL PASO,TX,79936,595316915,Package
LIQUID TOWN #11,5009 SARATOGA,CORPUS CHRISTI,TX,78415,985122361,Package
CHOICE BEVERAGE,4600 WEST EL DORADO PKWY,MCKINNEY,TX,75070,540265972,Package
COWBOY LIQUOR SAN ANTONIO,923 10TH STREET,FLORESVILLE,TX,78114,393832830,Package
WORLD MARKET #080,1317 HWY 114 WEST,GRAPEVINE,TX,760510000,0,Package
SPEC'S LIQUOR #9,8945 HWY 6 NORTH,HOUSTON,TX,77095,2818595879,Package
ARDOVINOS WINE GOURMET,1879 N ZARAGOSA,EL PASO,TX,79936,856911915,Package
LIQUOR COMPANY,1320 N. ZARAGOSA STE 117,EL PASO,TX,79936,471128915,Package
WORLD MARKET #102,5500 GREENVILLE AVE,DALLAS,TX,752060000,0,Package
LIAM'S STEAKHOUSE,3409 PADRE BLVD,SOUTH PADRE ISLAND,TX,78597,761197956,Package
SPECS #154,2750 SOUTH HULEN,FORT WORTH,TX,76109,0,Package
AB BEER & WINE,2305 HWY 276,ROCKWALL,TX,75032,722490972,Package
COST PLUS WORLD MKT #62,5125 RICHMOND,HOUSTON,TX,77056,7139638833,Package
ANGEL PATRICIO MARTINEZ,P.O. BOX 2113,PALMVIEW,TX,78572,650515956,Package
BEVERAGE BARON,411 N.MAIN ST.,BARRE,VT,05641,18024799227,Package
LYNDONVILLE REDEMPTION,406 BROAD ST. RR#3 BOX 90,LYNDONVILLE,VT,05851,18026268348,Package
WORLD OF BEER-RENTON,822 N 10TH PL STE C,RENTON,WA,98057,4252550714,Package
